,Male_16_white,Male_64_white,Female_16_white,Female_64_white,NAME,county,state,LF_White,Male_16_black,Male_64_black,Female_16_black,Female_64_black,LF_Black,Male_16_NA,Male_64_NA,Female_16_NA,Female_64_NA,LF_NA,Male_16_A,Male_64_A,Female_16_A,Female_64_A,Male_16_PI,Male_64_PI,Female_16_PI,Female_64_PI,LF_API,Male_16_other,Male_64_other,Female_16_other,Female_64_other,LF_Other,Male_16_2,Male_64_2,Female_16_2,Female_64_2,LF_2,Male_16_hispanic,Male_64_hispanic,Female_16_hispanic,Female_64_hispanic,LF_Hispanic,LF_Total,White,Black,Native_American,Asian,Pacific_Islander,Other,2_or_More,HispanicLatino,Total,API
0,15875.0,1097.0,14772.0,1144.0,"Adams County, Illinois",001,17,32888.0,496.0,18.0,395.0,53.0,962.0,36.0,0.0,21.0,0.0,57.0,116.0,0.0,69.0,0.0,51.0,0.0,3.0,0.0,239.0,126.0,0.0,104.0,0.0,230.0,119.0,0.0,89.0,0.0,208.0,234.0,0.0,208.0,0.0,442.0,34584.0,62268.0,2541.0,172.0,534.0,54.0,387.0,993.0,959.0,66949,588.0
1,896.0,35.0,700.0,55.0,"Alexander County, Illinois",003,17,1686.0,313.0,15.0,473.0,35.0,836.0,1.0,0.0,2.0,0.0,3.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,36.0,0.0,50.0,3.0,0.0,25.0,0.0,28.0,2588.0,4365.0,2388.0,31.0,20.0,0.0,27.0,220.0,127.0,7051,20.0
2,3510.0,207.0,3501.0,223.0,"Bond County, Illinois",005,17,7441.0,76.0,0.0,195.0,0.0,271.0,3.0,0.0,0.0,0.0,3.0,19.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,123.0,19.0,0.0,0.0,0.0,19.0,32.0,0.0,45.0,0.0,77.0,37.0,0.0,152.0,0.0,189.0,7934.0,15560.0,905.0,17.0,217.0,0.0,107.0,331.0,598.0,17137,217.0
3,12616.0,536.0,10102.0,513.0,"Boone County, Illinois",007,17,23767.0,255.0,0.0,275.0,0.0,530.0,30.0,0.0,13.0,0.0,43.0,203.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,351.0,1144.0,57.0,592.0,0.0,1793.0,337.0,0.0,200.0,0.0,537.0,3206.0,88.0,1826.0,0.0,5120.0,27021.0,46967.0,1149.0,172.0,710.0,0.0,3498.0,1160.0,11020.0,53656,710.0
4,1513.0,57.0,1136.0,39.0,"Brown County, Illinois",009,17,2745.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,16.0,27.0,0.0,0.0,0.0,27.0,2785.0,5441.0,1262.0,2.0,48.0,0.0,3.0,80.0,249.0,6836,48.0
5,8059.0,616.0,7500.0,440.0,"Bureau County, Illinois",011,17,16615.0,85.0,0.0,9.0,0.0,94.0,27.0,0.0,6.0,0.0,33.0,60.0,0.0,70.0,0.0,5.0,0.0,2.0,0.0,137.0,232.0,6.0,121.0,0.0,359.0,65.0,8.0,57.0,8.0,138.0,763.0,32.0,612.0,3.0,1410.0,17376.0,32130.0,236.0,53.0,266.0,7.0,685.0,445.0,2874.0,33822,273.0
6,1130.0,104.0,949.0,83.0,"Calhoun County, Illinois",013,17,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,8.0,8.0,0.0,8.0,0.0,16.0,2282.0,4892.0,7.0,2.0,7.0,0.0,1.0,53.0,52.0,4962,7.0
7,3416.0,378.0,3099.0,195.0,"Carroll County, Illinois",015,17,7088.0,42.0,6.0,14.0,0.0,62.0,0.0,0.0,2.0,0.0,2.0,27.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,45.0,7.0,0.0,7.0,0.0,14.0,54.0,0.0,35.0,0.0,89.0,131.0,0.0,63.0,0.0,194.0,7300.0,14193.0,191.0,14.0,89.0,3.0,56.0,247.0,503.0,14793,92.0
8,3011.0,181.0,2716.0,116.0,"Cass County, Illinois",017,17,6024.0,203.0,3.0,124.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,2.0,12.0,0.0,0.0,0.0,32.0,191.0,0.0,75.0,0.0,266.0,10.0,0.0,44.0,0.0,54.0,752.0,7.0,407.0,0.0,1166.0,6706.0,11748.0,577.0,5.0,37.0,43.0,467.0,191.0,2411.0,13068,80.0
9,41177.0,2473.0,38330.0,1729.0,"Champaign County, Illinois",019,17,83709.0,5767.0,173.0,7077.0,182.0,13199.0,122.0,1.0,60.0,13.0,196.0,4996.0,101.0,3861.0,44.0,79.0,0.0,0.0,0.0,9081.0,811.0,0.0,433.0,0.0,1244.0,1033.0,0.0,1228.0,7.0,2268.0,3163.0,30.0,2593.0,33.0,5819.0,109697.0,150806.0,25974.0,317.0,21009.0,79.0,2111.0,6124.0,11579.0,206420,21088.0
