,White,Black,Native_American,Asian,Pacific_Islander,Other,2_or_More,HispanicLatino,Total,NAME,county,state,API
0,62268.0,2541.0,172.0,534.0,54.0,387.0,993.0,959.0,66949,"Adams County, Illinois",001,17,588.0
1,4365.0,2388.0,31.0,20.0,0.0,27.0,220.0,127.0,7051,"Alexander County, Illinois",003,17,20.0
2,15560.0,905.0,17.0,217.0,0.0,107.0,331.0,598.0,17137,"Bond County, Illinois",005,17,217.0
3,46967.0,1149.0,172.0,710.0,0.0,3498.0,1160.0,11020.0,53656,"Boone County, Illinois",007,17,710.0
4,5441.0,1262.0,2.0,48.0,0.0,3.0,80.0,249.0,6836,"Brown County, Illinois",009,17,48.0
5,32130.0,236.0,53.0,266.0,7.0,685.0,445.0,2874.0,33822,"Bureau County, Illinois",011,17,273.0
6,4892.0,7.0,2.0,7.0,0.0,1.0,53.0,52.0,4962,"Calhoun County, Illinois",013,17,7.0
7,14193.0,191.0,14.0,89.0,3.0,56.0,247.0,503.0,14793,"Carroll County, Illinois",015,17,92.0
8,11748.0,577.0,5.0,37.0,43.0,467.0,191.0,2411.0,13068,"Cass County, Illinois",017,17,80.0
9,150806.0,25974.0,317.0,21009.0,79.0,2111.0,6124.0,11579.0,206420,"Champaign County, Illinois",019,17,21088.0
10,32714.0,524.0,87.0,179.0,40.0,44.0,300.0,512.0,33888,"Christian County, Illinois",021,17,219.0
11,15646.0,72.0,6.0,70.0,10.0,94.0,191.0,227.0,16089,"Clark County, Illinois",023,17,80.0
12,13173.0,84.0,22.0,37.0,0.0,0.0,150.0,182.0,13466,"Clay County, Illinois",025,17,37.0
13,35539.0,1283.0,96.0,213.0,0.0,204.0,523.0,1154.0,37858,"Clinton County, Illinois",027,17,213.0
14,49104.0,1940.0,120.0,595.0,106.0,92.0,845.0,1224.0,52802,"Coles County, Illinois",029,17,701.0
15,2965530.0,1248948.0,14296.0,357845.0,1810.0,515138.0,124008.0,1300843.0,5227575,"Cook County, Illinois",031,17,359655.0
16,18055.0,818.0,16.0,71.0,22.0,37.0,422.0,415.0,19441,"Crawford County, Illinois",033,17,93.0
